Year   Fire Name                   Location  State      Acres
2014   Buzzard Complex             OR-BUD    OR        395747
2014   Calton Complex              WA-NES    WA        256108
2014   Funny River                 AK        AK        195858
2014   Happy Camp Complex          CA-KNF    CA        134056
2013   Rim                         CA-STF    CA        257314
2013   Lime Hill                   AK-DOF    AK        201808
2013   Moore Creek                 AK-DOF    AK        157747
2013   Pony Complex                ID-BOD    ID        149384
2013   Silver                      NM-GNF    NM        138546
2013   Elk Complex                 ID-BOF    ID        131258
2013   Beaver Creek                ID-TFD    ID        111490
2013   West Fork Complex           AK-DOF    AK        109615
2012   Long Draw                   OR-VAD    OR        557628
2012   Holloway                    NV-WID    NV        460850
2012   Mustang Complex             ID-SCF    ID        341448
2012   Rush                        CA-NOD    CA        315577
2012   Whitewater- Baldy           NM-GNF    NM        297845
2012   Ash Creek                   MT-NCA    MT        249562
2012   Kinyon Road                 ID-TFD    ID        234914
2012   Kinyon Road                 ID-TFD    ID        210874
2012   Halstead                    ID-SCF    ID        181948
2012   Rosebud Creek Complex       MT-EAS    MT        171444
2012   Miller Homestead            OR-BUD    OR        162765
2012   Miller Homestead            OR-BUD    OR        160853
2012   Trinity Ridge               ID-BOF    ID        146832
2012   Flattop 2                   ID-TFD    ID        140954
2012   Chalky                      MT-MCD    MT        131000
2012   Clay Springs                UT-SCS    UT        107846
2011   Wallow                      AZ- ASF   AZ        538049
2011   Rock House                  TX-TFS    TX        314444
2011   Honey Prairie               GA-ONWR   GA        309200
2011   Horseshoe 2                 SW        AZ        222954
2011   Deaton Cole                 TX-TFS    TX        175000
2011   Cooper Mountain Ranch       TX-TFS    TX        162625
2011   Wildcat                     TX-TFS    TX        159308
2011   Las Conchas                 NM-N6S    NM        156593
2011   Pk Complex                  TX-TFS    TX        126734
2011   Swenson                     TX-TFS    TX        122500
2011   Indian Creek                NV-NDF    NV        110827
2011   High Cascades               NW        OR        108154
2011   Southeast Texas Complex     TX-TFS    TX        104818
2011   Donaldson                   SW        NM        101563
2010   Long Butte                  ID-TFD    ID        306113
2010   Toklat                      AK-TAD    AK        171727
2010   Jefferson                   ID-INL    ID        109436
2009   Railbelt Complex            AK-AKS    AK        636224
2009   Minto Flats South           AK-FAS    AK        517078
2009   Crazy Mountain Complex      AK-UYD    AK        447420
2009   Little Black One            AK-UYD    AK        349450
2009   Big Creek                   WF        AK        169639
2009   Titna River                 AK-TAD    AK        164542
2009   Tonclonukna Creek           AK-SWS    AK        164318
2009   Station                     CA-ANF    CA        160577
2009   Nowitna                     AK-AFS    AK        126582
2009   Wood River 1                AK-AFS    AK        125382
2009   Rex Creek                   WF        AK        101150
2008   Glass Fire                  TX-TXS    TX        219556
2008   Klamath Theater             CA-KNF    CA        192038
2008   Basin Complex               CA-LPF    CA        162818
2008   Iron & Alps Complexes       CA-SHF    CA        105805
2008   Dunn Mtn. Assist            MT-SOS    MT        102383
2007   Murphy Complex              ID-TFD    ID        652016
2007   Big Turnaround Complex      GA-OKR    GA        386722
2007   Milford Flat                UT-SWS    UT        363052
2007   Cascade Complex             ID-BOF    ID        302376
2007   East Zone Complex           ID-PAF    ID        300022
2007   Zaca Two                    CA-LPF    CA        240207
2007   Witch                       CA-MVU    CA        197990
2007   Rowland                     ID-TFD    ID        180000
2007   Winecup Complex             NV-EKD    NV        163767
2007   Bugaboo Scrub Fire          GA-OKR    GA        160727
2007   Elk Mountain                ID-TFD    ID        160000
2007   Egley Complex               OR-BFZ    OR        140359
2007   Antelope Complex            NV-BMD    NV        136778
2007   Shower Bath Complex         ID-SCF    ID        122600
2007   Florida Bugaboo             FL-FNF    FL        108574
2007   Rattlesnake                 ID-NPF    ID        102000
2006   East Amarillo Complex       TX-TXS    TX        907245
2006   Eastern Oklahoma IA         OK-OKS    OK        413964
2006   North Central Texas IA      TX-TXS    TX        250942
2006   Winters                     NV-WID    NV        238458
2006   Derby Fire                  MT-GNF    MT        223570
2006   Crystal                     ID-IFD    ID        220042
2006   Charleston Complex          NV-EKD    NV        190421
2006   Day                         CA-LPF    CA        162702
2006   Sheep                       NV-EKD    NV        150270
2006   Parks Hwy                   AK-FAS    AK        130186
2006   Black Pulaski Complex       MT-MCD    MT        124905
2006   Pine Ridge Complex          MT-SOS    MT        121210
2006   Oklahoma Fire Response      OK-OKS    OK        117686
2006   South End Complex           OR-BUD    OR        117553
2006   Tripod Complex              WA-OWF    WA        113011
2006   Columbia Complex            OR-UMF    OR        109259
2006   Amazon                      NV-EKD    NV        108564
2006   Bar Complex                 CA-SHF    CA        100414
2005   Southern Nevada Complex     NV-LVD    NV        508751
